verb,semantic_type
accept,other
acknowledge,bridge
add,other
affirm,other
agree,other
allege,other
announce,bridge
answer,other
anticipate,bridge
argue,other
assert,other
attest,other
believe,bridge
bet,other
boast,other
brag,other
calculate,other
caution,other
certify,other
claim,bridge
comment,bridge
complain,other
conceal,factive
concede,other
confess,other
confirm,other
consider,other
decide,bridge
declare,bridge
deduce,bridge
demonstrate,other
deny,other
determine,other
disclose,other
discover,factive
doubt,other
dream,other
emphasize,other
establish,other
estimate,other
expect,other
explain,other
fear,bridge
feel,bridge
find,other
forget,factive
gloat,other
growl,manner
guarantee,other
guess,other
hate,factive
hear,other
hint,other
holler,manner
hoot,manner
hope,bridge
hypothesize,other
ignore,factive
imagine,other
imply,bridge
indicate,bridge
infer,other
insist,bridge
intimate,other
joke,other
know,factive
learn,factive
like,other
maintain,bridge
mention,bridge
moan,manner
mumble,manner
murmur,manner
muse,other
mutter,manner
note,factive
notice,factive
observe,other
opine,other
perceive,other
plead,other
predict,other
presume,other
pretend,other
proclaim,other
promise,other
propose,bridge
prove,other
realize,factive
reason,other
recall,factive
reckon,other
recognize,other
recollect,factive
regret,factive
reiterate,other
remark,bridge
remember,factive
repeat,other
reply,other
report,bridge
request,other
resent,factive
respond,other
reveal,bridge
say,bridge
scream,manner
see,other
sense,other
shout,manner
show,other
shriek,manner
signal,other
signify,other
speculate,other
stammer,manner
state,bridge
suggest,bridge
suppose,other
suspect,bridge
swear,other
testify,other
theorize,other
think,bridge
trust,other
understand,other
verify,other
vow,other
wail,manner
warn,other
whine,manner
whisper,manner
wonder,other
worry,other
write,other
yell,manner